user_id,basket_id,event_time,abandond,discount,,
574710774,12939,2019-12-01 06:06:00,0,0,2019-12-01 06:06:00,2019-12-01 06:06:00
580056479,12940,2019-12-01 06:06:00,0,0,2019-12-01 06:06:00,2019-12-01 06:06:00
554201837,12941,2019-12-01 06:08:00,0,0.1,2019-12-01 06:08:00,2019-12-01 06:08:00
571600331,12942,2019-12-01 06:25:00,0,0.25,2019-12-01 06:25:00,2019-12-01 06:25:00
557560536,12943,2019-12-01 06:26:00,0,0.25,2019-12-01 06:26:00,2019-12-01 06:26:00
554748899,12945,2019-12-01 06:31:00,1,0.1,2019-12-01 06:31:00,2019-12-01 06:31:00
578048211,12946,2019-12-01 06:32:00,0,0,2019-12-01 06:32:00,2019-12-01 06:32:00
358019213,12947,2019-12-01 06:32:00,0,0.1,2019-12-01 06:32:00,2019-12-01 06:32:00
548709893,12948,2019-12-01 06:36:00,0,0,2019-12-01 06:36:00,2019-12-01 06:36:00
563698855,12949,2019-12-01 06:37:00,0,0.1,2019-12-01 06:37:00,2019-12-01 06:37:00
385984912,12950,2019-12-01 06:40:00,0,0,2019-12-01 06:40:00,2019-12-01 06:40:00
538394745,12951,2019-12-01 06:44:00,0,0,2019-12-01 06:44:00,2019-12-01 06:44:00
380113376,12952,2019-12-01 06:44:00,0,0,2019-12-01 06:44:00,2019-12-01 06:44:00
580050141,12953,2019-12-01 06:44:00,0,0,2019-12-01 06:44:00,2019-12-01 06:44:00
541146563,12954,2019-12-01 06:47:00,0,0,2019-12-01 06:47:00,2019-12-01 06:47:00
403343899,12955,2019-12-01 06:50:00,0,0,2019-12-01 06:50:00,2019-12-01 06:50:00
566109793,12956,2019-12-01 06:50:00,0,0,2019-12-01 06:50:00,2019-12-01 06:50:00
563866037,12957,2019-12-01 06:53:00,0,0,2019-12-01 06:53:00,2019-12-01 06:53:00
522611277,12958,2019-12-01 07:00:00,0,0,2019-12-01 07:00:00,2019-12-01 07:00:00
504142775,12959,2019-12-01 07:02:00,0,0.1,2019-12-01 07:02:00,2019-12-01 07:02:00
334285886,12960,2019-12-01 07:03:00,0,0,2019-12-01 07:03:00,2019-12-01 07:03:00
573538815,12961,2019-12-01 07:04:00,0,0,2019-12-01 07:04:00,2019-12-01 07:04:00
471838844,12963,2019-12-01 07:07:00,0,0,2019-12-01 07:07:00,2019-12-01 07:07:00
579896006,12964,2019-12-01 07:10:00,1,0,2019-12-01 07:10:00,2019-12-01 07:10:00
458787386,12965,2019-12-01 07:13:00,0,0,2019-12-01 07:13:00,2019-12-01 07:13:00
469258750,12966,2019-12-01 07:15:00,0,0,2019-12-01 07:15:00,2019-12-01 07:15:00
449603358,12967,2019-12-01 07:18:00,0,0,2019-12-01 07:18:00,2019-12-01 07:18:00
580092943,12968,2019-12-01 07:18:00,0,0,2019-12-01 07:18:00,2019-12-01 07:18:00
579682046,12969,2019-12-01 07:19:00,0,0,2019-12-01 07:19:00,2019-12-01 07:19:00
579982297,12970,2019-12-01 07:20:00,1,0,2019-12-01 07:20:00,2019-12-01 07:20:00
556579890,12971,2019-12-01 07:24:00,1,0,2019-12-01 07:24:00,2019-12-01 07:24:00
431821216,12972,2019-12-01 07:25:00,0,0,2019-12-01 07:25:00,2019-12-01 07:25:00
534305618,12973,2019-12-01 07:26:00,0,0.25,2019-12-01 07:26:00,2019-12-01 07:26:00
580100376,12974,2019-12-01 07:31:00,0,0.5,2019-12-01 07:31:00,2019-12-01 07:31:00
579982297,12975,2019-12-01 07:32:00,1,0,2019-12-01 07:32:00,2019-12-01 07:32:00
490632556,12976,2019-12-01 07:32:00,1,0.5,2019-12-01 07:32:00,2019-12-01 07:32:00
